DATE,SEAS00SKM086NEST
1996-01-01,55.14
1996-02-01,53.88
1996-03-01,53.03
1996-04-01,53.39
1996-05-01,53.78
1996-06-01,47.45
1996-07-01,49.54
1996-08-01,48.33
1996-09-01,51.72
1996-10-01,50.26
1996-11-01,48.02
1996-12-01,47.50
1997-01-01,51.98
1997-02-01,53.24
1997-03-01,55.43
1997-04-01,56.75
1997-05-01,54.58
1997-06-01,57.01
1997-07-01,53.86
1997-08-01,50.54
1997-09-01,47.45
1997-10-01,47.26
1997-11-01,47.88
1997-12-01,50.25
1998-01-01,55.08
1998-02-01,57.48
1998-03-01,58.19
1998-04-01,59.61
1998-05-01,63.69
1998-06-01,62.92
1998-07-01,55.26
1998-08-01,48.61
1998-09-01,49.25
1998-10-01,49.21
1998-11-01,50.99
1998-12-01,52.43
1999-01-01,56.96
1999-02-01,59.30
1999-03-01,59.32
1999-04-01,59.98
1999-05-01,60.38
1999-06-01,62.10
1999-07-01,57.23
1999-08-01,53.70
1999-09-01,53.96
1999-10-01,53.43
1999-11-01,55.16
1999-12-01,57.08
2000-01-01,61.18
2000-02-01,63.79
2000-03-01,61.92
2000-04-01,61.52
2000-05-01,62.34
2000-06-01,60.82
2000-07-01,56.92
2000-08-01,52.69
2000-09-01,52.54
2000-10-01,52.21
2000-11-01,53.71
2000-12-01,57.25
2001-01-01,60.14
2001-02-01,58.55
2001-03-01,59.25
2001-04-01,61.85
2001-05-01,64.71
2001-06-01,68.63
2001-07-01,65.92
2001-08-01,61.72
2001-09-01,59.18
2001-10-01,58.44
2001-11-01,56.26
2001-12-01,60.46
2002-01-01,65.42
2002-02-01,67.56
2002-03-01,69.25
2002-04-01,70.11
2002-05-01,71.53
2002-06-01,67.42
2002-07-01,60.42
2002-08-01,58.00
2002-09-01,57.34
2002-10-01,55.82
2002-11-01,56.29
2002-12-01,58.83
2003-01-01,63.82
2003-02-01,65.22
2003-03-01,66.29
2003-04-01,67.94
2003-05-01,69.04
2003-06-01,70.70
2003-07-01,63.80
2003-08-01,58.83
2003-09-01,58.23
2003-10-01,58.53
2003-11-01,60.04
2003-12-01,61.89
2004-01-01,67.15
2004-02-01,66.90
2004-03-01,67.54
2004-04-01,67.41
2004-05-01,68.78
2004-06-01,70.80
2004-07-01,66.76
2004-08-01,61.99
2004-09-01,58.95
2004-10-01,56.25
2004-11-01,55.59
2004-12-01,56.54
2005-01-01,61.65
2005-02-01,64.06
2005-03-01,65.53
2005-04-01,66.18
2005-05-01,70.68
2005-06-01,76.14
2005-07-01,70.30
2005-08-01,64.41
2005-09-01,61.91
2005-10-01,60.47
2005-11-01,62.21
2005-12-01,64.15
2006-01-01,67.77
2006-02-01,71.18
2006-03-01,72.91
2006-04-01,75.87
2006-05-01,82.60
2006-06-01,85.26
2006-07-01,79.86
2006-08-01,72.97
2006-09-01,71.13
2006-10-01,69.48
2006-11-01,71.54
2006-12-01,73.92
2007-01-01,79.81
2007-02-01,82.42
2007-03-01,82.17
2007-04-01,86.18
2007-05-01,86.81
2007-06-01,85.17
2007-07-01,78.06
2007-08-01,72.25
2007-09-01,71.56
2007-10-01,75.73
2007-11-01,75.50
2007-12-01,76.70
2008-01-01,80.88
2008-02-01,82.64
2008-03-01,83.81
2008-04-01,85.86
2008-05-01,89.80
2008-06-01,91.84
2008-07-01,85.36
2008-08-01,79.21
2008-09-01,74.44
2008-10-01,73.53
2008-11-01,73.06
2008-12-01,73.86
2009-01-01,76.66
2009-02-01,79.51
2009-03-01,81.59
2009-04-01,82.09
2009-05-01,85.52
2009-06-01,84.32
2009-07-01,76.77
2009-08-01,71.61
2009-09-01,71.20
2009-10-01,69.18
2009-11-01,70.29
2009-12-01,71.38
2010-01-01,78.03
2010-02-01,80.40
2010-03-01,84.09
2010-04-01,88.80
2010-05-01,89.75
2010-06-01,88.94
2010-07-01,89.38
2010-08-01,85.08
2010-09-01,84.55
2010-10-01,81.41
2010-11-01,84.60
2010-12-01,88.39
2011-01-01,92.90
2011-02-01,97.34
2011-03-01,97.64
2011-04-01,98.66
2011-05-01,99.73
2011-06-01,94.90
2011-07-01,86.53
2011-08-01,79.95
2011-09-01,77.78
2011-10-01,76.83
2011-11-01,78.88
2011-12-01,77.67
2012-01-01,81.47
2012-02-01,84.80
2012-03-01,88.28
2012-04-01,88.76
2012-05-01,91.58
2012-06-01,96.98
2012-07-01,93.94
2012-08-01,88.94
2012-09-01,85.65
2012-10-01,85.71
2012-11-01,84.66
2012-12-01,87.61
2013-01-01,93.05
2013-02-01,95.31
2013-03-01,94.55
2013-04-01,97.84
2013-05-01,102.03
2013-06-01,107.31
2013-07-01,103.71
2013-08-01,98.98
2013-09-01,96.00
2013-10-01,93.44
2013-11-01,90.13
2013-12-01,90.62
2014-01-01,100.14
2014-02-01,100.90
2014-03-01,99.90
2014-04-01,99.51
2014-05-01,98.20
2014-06-01,98.60
2014-07-01,95.40
2014-08-01,88.83
2014-09-01,89.53
2014-10-01,87.97
2014-11-01,88.83
2014-12-01,90.44
2015-01-01,92.01
2015-02-01,96.00
2015-03-01,97.03
2015-04-01,100.96
2015-05-01,105.73
2015-06-01,108.77
2015-07-01,103.35
2015-08-01,98.36
2015-09-01,99.01
2015-10-01,100.53
2015-11-01,99.75
2015-12-01,98.50
2016-01-01,101.57
2016-02-01,104.50
2016-03-01,106.43
2016-04-01,107.31
2016-05-01,106.16
2016-06-01,107.97
2016-07-01,104.50
2016-08-01,99.39
2016-09-01,98.10
2016-10-01,94.18
2016-11-01,97.69
2016-12-01,99.60
2017-01-01,106.33
2017-02-01,116.34
2017-03-01,113.81
2017-04-01,113.09
2017-05-01,115.67
2017-06-01,116.76
2017-07-01,109.98
2017-08-01,99.16
2017-09-01,98.85
2017-10-01,101.89
2017-11-01,104.08
2017-12-01,105.31
2018-01-01,117.83
2018-02-01,118.79
2018-03-01,120.54
2018-04-01,122.54
2018-05-01,119.47
2018-06-01,122.67
2018-07-01,111.57
2018-08-01,107.2
2018-09-01,113.3
2018-10-01,108.69
2018-11-01,102.38
2018-12-01,103.79
2019-01-01,114.52
2019-02-01,122.27
2019-03-01,124.12
2019-04-01,124.32
2019-05-01,122.94
2019-06-01,123.72
2019-07-01,119.56
2019-08-01,116.63
2019-09-01,115.83
2019-10-01,111.57
2019-11-01,110.16
2019-12-01,110.19
2020-01-01,118.22
2020-02-01,123.39
2020-03-01,123.83
2020-04-01,131.48
2020-05-01,134.5
2020-06-01,127.52
2020-07-01,116.49
2020-08-01,107.54
2020-09-01,106.17
2020-10-01,106.47
2020-11-01,107.87
2020-12-01,107.38
2021-01-01,111.76
2021-02-01,114.54
2021-03-01,115.89
2021-04-01,116.97
2021-05-01,125.95
2021-06-01,129.79
2021-07-01,126.43
2021-08-01,120.67
2021-09-01,122.99
2021-10-01,117.87
2021-11-01,114.85
2021-12-01,117.26
2022-01-01,125.86
2022-02-01,133.43
2022-03-01,140.38
2022-04-01,142.92
2022-05-01,142.16
2022-06-01,143.73
2022-07-01,137.22
2022-08-01,134.98
2022-09-01,135.61
2022-10-01,142.87
2022-11-01,142.48
2022-12-01,139.74
2023-01-01,148.29
2023-02-01,156.66
2023-03-01,170.81
2023-04-01,165.00
